"UNIDADES DE PRODUCCIÓN URBANAS, Y RURALES CON SUPERFICIE AGRÍCOLA, SEGÚN DESTINO",,,,,,,,CUADRO 10,,,
"DE LA PRODUCCIÓN AGRÍCOLA, POR ENTIDAD Y MUNICIPIO",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ENTIDAD Y MUNICIPIO,,,,UNIDADES DE PRODUCCIÓN,DESTINO DE LA PRODUCCIÓN,,,NO REPORTARON PRODUCCIÓN,,,
,,,,,SÓLO AUTOCONSUMO,VENTA,,,,,
,,,,,,SÓLO LOCAL O NACIONAL,"LOCAL, NACIONAL Y EXPORTACIÓN ",,,,
,,,,,,,"LOCAL, NACIONAL Y EXPORTACIÓN ",,,,
,,,,,,,,,,,
,,,,,,,,,,,
,SANTA CLARA,,, 1 152,  168,  972,-,  12,,,
,SANTIAGO PAPASQUIARO,,, 4 257, 2 871, 1 033,-,  353,,,
,SUCHIL,,,  763,  489,  207,-,  67,,,
,TAMAZULA,,, 4 177, 3 756,  358,-,  63,,,
,TEPEHUANES,,, 1 215, 1 038,  99,-,  78,,,
,TLAHUALILO,,, 2 101,  200, 1 814,  14,  73,,,
,TOPIA,,,  837,  772,  62,-,  3,,,
,VICENTE GUERRERO,,, 1 093,  209,  824,-,  60,,,
,NUEVO IDEAL,,, 4 154, 1 636, 1 888,*,  628,,,
GUANAJUATO,,,, 136 746, 52 148, 71 883,  149, 12 566,,,
,ABASOLO,,, 3 995,  836, 2 973,  7,  179,,,
,ACAMBARO,,, 5 019, 1 627, 3 220,  4,  168,,,
,ALLENDE,,, 5 052, 3 314, 1 194,  26,  518,,,
,APASEO EL ALTO,,, 2 388, 1 126, 1 117,  8,  137,,,
,APASEO EL GRANDE,,, 2 404,  838, 1 416,  16,  134,,,
,ATARJEA,,,  738,  500,*,-,  237,,,
,CELAYA,,, 4 354, 1 171, 2 959,  11,  213,,,
,MANUEL DOBLADO,,, 3 196, 1 047, 1 891,*,  257,,,
,COMONFORT,,, 2 688, 1 520,  870,*,  297,,,
,CORONEO,,, 1 140,  730,  326,-,  84,,,
,CORTAZAR,,, 1 813,  577, 1 096,  5,  135,,,
,CUERAMARO,,, 1 866,  529, 1 249,-,  88,,,
,DOCTOR MORA,,, 1 391,  494,  178,*,  718,,,
,DOLORES HIDALGO,,, 5 153, 2 799, 1 500,  7,  847,,,
,GUANAJUATO,,, 2 385, 1 542,  461,*,  381,,,
,HUANIMARO,,, 1 519,  253, 1 254,*,  11,,,
,IRAPUATO,,, 6 478, 1 282, 5 010,  11,  175,,,
,JARAL DEL PROGRESO,,, 1 480,  255, 1 179,*,  45,,,
